,Name,Price,Image,Description,
12,Argentina 2024 Messi Home Authentic Jersey,$180 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c1c09f47d4fb4cf58043efe54835f892_9366/argentina-2024-messi-home-authentic-jersey.jpg","OFFICIAL SOCCER JERSEY WITH ARGENTINEAN CREST AND 3-STRIPES.
Strike a fresh new look to celebrate an epic legacy. Designed for pro players, the Authentic collection fuses high-tech features and bold design to bring a vibrant twist to the game. Introducing the iconic national symbols in a modern silhouette, the Argentina 2024 Home Authentic Jersey cheers the fiery enthusiasm that distinguishes La Albiceleste's fans. 

With the unmistakable white and blue setting the tone, this slim-fit jersey is crafted from a lightweight fabric that sits comfortably on your skin. Using advanced materials, adidas HEAT.RDY maximizes air flow so you can feel cool and fresh while embracing the energy of the crowds. 

This product is made with at least 70% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources.",Jersey
13,Germany 2024 Away Authentic Jersey,$150 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e2a2dff383594eb494125caf5035e6c3_9366/germany-2024-away-authentic-jersey.jpg","OFFICIAL SCOOER JERSEY WITH GERMAN CREST AND 3-STRIPES.
Strike a fresh new look to celebrate an epic legacy. Designed for pro players, the Authentic collection fuses high-tech features and bold design to bring a vibrant twist to the game. Bridging the gap between tradition and the future, the Germany 2024 Away Authentic Jersey draws inspiration from Germany's national symbols, infusing them with a modern flair to reflect heritage and style. 

Step on the field like a champion, knowing that this professional jersey has you covered. Crafted from a lightweight fabric with quick-dry capability, the HEAT.RDY construction maximizes airflow and makes you feel cool, ensuring comfort as you score that last-minute goal and take back the game. 

This product is made with at least 60% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources.",Jersey
14,Belgium 2024 Home Authentic Jersey,$150 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/74e037685abe4c9a96d788641f40d937_9366/belgium-2024-home-authentic-jersey.jpg","OFFICIAL SOCCER JERSEY WITH BELGIUM CREST AND 3-STRIPES.
Strike a fresh new look to celebrate an epic legacy. Designed for pro players, the Authentic collection fuses high-tech features and bold design to bring a vibrant twist to the game. With an aesthetic inspired by Belgium's architecture and fashion, this modern jersey recreates soccer's narrative while nodding to tradition. 

Enjoy the lively energy of a color-block tee that suits you any day. The Belgium 2024 Home Authentic Jersey lends geometric patterns from the Royal Belgian Football Association to build a premium, unexpected look. A blend of functionality and style, this piece has HEAT.RDY to keep you feeling dry and comfortable as you score another victory. 

By choosing recycled, we are able to reuse materials that have already been created, which helps to reduce waste and our reliance on finite resources.",Jersey
15,Italy 2024 Home Authentic Jersey,$150 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9dc51be9fc404868b31f3c55ae57cf95_9366/italy-2024-home-authentic-jersey.jpg","OFFICIAL SOCCER JERSEY WITH ITALIAN CREST AND 3-STRIPES.
Strike a fresh new look to celebrate an epic legacy. Designed for pro players, the Authentic collection fuses high-tech features and bold design to bring a vibrant twist to the game. Soccer pride meets sophistication in the Italy 2024 Home Authentic Jersey, a premium creation embodied in Italian glory. 

Cut in a slim fit for a defined silhouette; the jersey carries the famous Italian crest as a symbol of proud soccer history. Its soft, breathable fabric ensures maximum comfort as your day goes by, and HEAT.RDY keeps you feeling dry whether you're in the stadium or on the pitch. 

By choosing recycled, we are able to reuse materials that have already been created, which helps to reduce waste and our reliance on finite resources.",Jersey
16,MLS 24 Competition NFHS Ball,$150 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/6ee0430a558c4d9f9fc82b17b96bf514_9366/mls-24-competition-nfhs-ball.jpg","A QUALITY MATCH BALL THAT MARKS A HISTORIC MOMENT IN US SOCCER HISTORY.
Celebrate the 30th anniversary of the USA's most prestigious soccer event. This adidas Competition ball takes its design inspiration from the MLS official match ball. From its thermally bonded seamless construction to its resilient butyl bladder, it's designed to bring high performance to the biggest matches.",Ball
17,MLS 24 Pro Ball,$150 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d43c39edcbdd42c3a61eab089e961ec7_9366/mls-24-pro-ball.jpg","MARK A HISTORIC SOCCER MOMENT WITH THE OFFICIAL MATCH BALL OF MLS.
Celebrate the 30th anniversary of the USA's most prestigious soccer event. The official match ball of Major League Soccer, this adidas Pro ball displays a bold design inspired by the colors of the beautiful game. Built for performance, it has a thermally bonded seamless construction and butyl bladder. It meets FIFA's highest standards so you can unleash your skills with confidence.",Ball
18,Messi Club Ball,$40 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7cf3a06bda9641f69d0041a792921212_9366/messi-club-ball.jpg","A DURABLE ADIDAS BALL FOR SHOWING MAGICAL SKILLS DURING RECREATIONAL PLAY.
Your beautiful game will shine when this Messi Club soccer is at your feet. Created for the Argentina number 10's biggest fans, it shows off Lionel Messi details and the colors of his world champion side. Behind those eye-catching graphics, a machine-stitched TPU surface and resilient butyl bladder ensure it always comes back for more.",Ball
19,UCL Pro 23/24 Knockout Ball,$150 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/92ba21852fc0438d9b0a47b20d6241bd_9366/ucl-pro-23-24-knockout-ball.jpg","THE OFFICIAL MATCH BALL USED IN THE UCL 23/24 KNOCKOUT STAGES.
The pride of London. The vibrant lion-inspired graphics on this adidas UCL Pro soccer ball highlight the powerful, courageous and majestic symbol of the competition hosts. The ball used during the knockout stages of the 23/24 UEFA Champions League, it's made for big match moments with a thermally bonded seamless construction and high-grade butyl bladder. Take it onto the pitch and show your champion credentials.",Ball
20,Fussballliebe Mini Ball,$30 ,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/02503be230664055b61e6c4e2da5745c_9366/fussballliebe-mini-ball.jpg","A SCALED-DOWN BALL INSPIRED BY THE BIG TOURNAMENT IN GERMANY.
When you're honing your soccer skills, this adidas Fussballliebe mini ball is your perfect sidekick. Made for pinpoint play, its smooth TPU surface withstands powerful strikes and the foam core means there's no need for a pump. Emblazoned with a design inspired by the official match ball of Europe's biggest international tournament, this diminutive ball lets you celebrate the beautiful game wherever you go.",Ball
21,Nike Vapor Grip3,$132 ,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/df845283-36ad-4bd0-9741-8599b410fb69/vapor-grip3-goalkeeper-gloves-Cng0Lk.png","Rain or shine, the game goes on. A weather-resistant outer texture helps to make the catch in both wet and dry days. Grip3 technology helps to keep your fingers shielded with wrap-around foam.
Shown: Black/White/Metallic Gold Coin
Style: FB2999-011",Gloves
22,Nike Vapor,$160 ,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7f83c04e-20aa-4e50-b3e0-a04e19799e37/vapor-dynamic-fit-goalkeeper-gloves-TvZX1r.png","Your eyes stay on the ball as it races towards you, and with a quick kick it's flying your way. Make the grab with gloves designed to protect your hands—and the win. Grip3 technology adds protective foam around your fingers to help shield your hands during the game. All Conditions Control technology provides gripping action in any weather condition.
Shown: Black/White/Metallic Gold Coin
Style: FD5766-011",Gloves
23,Nike Match,$32 ,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/85f1bc59-40aa-4a83-a81a-6ad7d4c91bae/match-soccer-goalkeeper-gloves-Dp8dL9.png","Get ready for whatever comes your way on the pitch. Latex foam helps to absorb impact every time you snag the ball, and a wide wrist strap helps keep you comfortable and secure through each match.
Shown: White/Pure Platinum/Black
Style: FJ4862-100",Gloves
24,Nike Match Jr.,$27 ,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bd666d16-61b2-4943-815d-2d088d01c950/match-jr-goal-keeper-gloves-qzsH8V.png","Your rival team is running toward you with the ball. Are you ready? With foam padding for cushioning where you need it most, these gloves have a smooth palm that helps you perform your best in various conditions. Pull 'em on and stay ready for whatever the next game has in store.
Shown: Black/Dark Grey/White
Style: FJ4864-011",Gloves
25,Paris Saint-Germain HyperWarm,$24.97 ,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e067cc64-f963-4450-a859-14602be64c85/paris-saint-germain-hyperwarm-soccer-gloves-HwZj7P.png","The Paris Saint-Germain HyperWarm Gloves are made with a warm material so you can stay focused on cold game days. Textured areas help you grip the ball better for quick restarts and throw-ins.
Shown: Black/Black/White
Style: DC4182-010",Gloves
26,Nike Maestro,$27 ,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/48883de6-ae3c-4704-8284-36fb64009852/maestro-futsal-ball-bpBb0H.png","It's game time. Easy to see, high-contrast graphics pair with a premium textured casing and a smaller, heavier design than outdoor versions to create the optimal ball for futsal play.
Shown: Coconut Milk/Multi-Color/White
Style: FJ5547-113",Ball
27,Premier League Academy,$37 ,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5721696f-ba3c-455c-8749-e3b871c4c759/premier-league-academy-soccer-ball-sBDX7B.png","You never stop improving your skills, so use the ball that works as hard as you do. The bright graphic features are easy to see on the pitch while you're practicing your footwork, and its innovative grooves create a consistent spin for that airborne shot towards the goal.
Shown: White/Metallic Gold Star/Black
Style: FB2985-106",Ball
28,CR7's academy soccer ball,$32 ,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/aa181a67-b427-4fb5-9923-f6d99b6a1af9/cr7-academy-soccer-ball-VrQqfG.png","Take your play to the next level with the CR7 Soccer Ball. Molded grooves help disrupt airflow for less drag and a more stable flight as it soars through the air toward your next goal.
Shown: Green Strike/Stadium Green/Black
Style: FN4327-398",Ball
29,Nike Skills,$14.97 ,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/11a688cd-3e14-48f7-a165-ee2ab191da53/skills-soccer-ball-vZJPW2.png","Take your game to the next level with the Nike Skills Soccer Ball. It's smaller in size, making it ideal for practicing and developing your footwork.
Shown: White/Bright Crimson/Black
Style: DC2391-100",Ball
30,Premier League Flight,$167 ,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bd032e5e-ebcd-43c1-af42-82eddd69c156/premier-league-flight-soccer-ball-dM9sq5.png","Meet the ball made to withstand it all. Molded grooves for less drag, a grippy texture for control in any weather—all built in so you can excel on the pitch every time you play.
Shown: White/Fierce Purple/White
Style: FB2979-101",Ball
31,Brazil Essential,S$45,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/945ed1ea-d1c4-43e9-8403-c2f93c7f4d39/brazil-essential-football-t-shirt-MHMs62.png","It's a classic Nike tee with a little Brazil twist. What more could a fan want?
Colour Shown: Dynamic Yellow
Style: FV9377-740",Jersey
32,Chelsea F.C. 2023/24 Stadium Away,S$115,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/881192d8-5318-4467-b1cb-070a2acf02bf/chelsea-fc-2023-24-stadium-away-dri-fit-football-shirt-HzkDbt.png","Who doesn't love an early 2000s throwback? Coming to you all the way from 2002, the 2023/24 Chelsea Away kit mixes classic colours and an all-over digital graphic with blue accents on the collar and sleeves. Inside, you will find a hidden London Chelsea F.C. design on the inner pride. Our Stadium collection pairs replica design details with sweat-wicking technology to give you a game-ready look inspired by your favourite team.
Colour Shown: Soar/Club Gold/White
Style: DX2683-428",Jersey
33,Brazil 2024 Stadium Away,S$115,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/364ce512-9a9f-43ba-abab-c9a0a7510f07/brazil-2024-stadium-away-dri-fit-football-replica-shirt-Lxzpkh.png","The Brazil 2024 Away kit honours the chaotic natural beauty found in its beaches and jungles. Its intricate all-over print nods to the colours and shapes of the country's coastlines. Look inside the shirt for a hidden detail celebrating national pride.
Colour Shown: Soar/Light Retro/Dynamic Yellow
Style: FJ4283-458",Jersey
34,LeBron x Liverpool F.C.,S$59,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/454ce833-b2c8-437f-913c-2fc1337fa34f/lebron-liverpool-fc-max90-football-t-shirt-MjP49j.png","Football and basketball collide in this comfortable cotton tee. With a design inspired by LeBron James and Liverpool F.C., it celebrates the King's ownership stake in the Reds. Dropped shoulders, longer sleeves and a roomy fit through the body and hips give the Max90 tee a relaxed and casual look.
Colour Shown: Light Orewood Brown/Truly Gold
Style: FQ6590-104",Jersey
35,Liverpool F.C. Strike,S$69,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/72272ec1-93a2-4050-ab18-dd17ee930e8c/liverpool-fc-strike-dri-fit-football-knit-top-z3N5lc.png","With design details specifically tailored for football's rising stars, a slim, streamlined fit ensures that nothing comes between you and the ball. Sweat-wicking technology helps keep you cool and composed while you fine-tune your skills.
Colour Shown: Gym Red/Anthracite/Wolf Grey
Style: FD7084-688",Jersey
36,Nike Superfly 9 Elite Mercurial Dream Speed,S$425,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bb40352b-540b-4437-b32f-fa0525626bd6/superfly-9-elite-mercurial-dream-speed-fg-high-top-football-boot-0hlF4x.png","Cristiano Ronaldo wouldn't be the competitor he is without setbacks. Made for those obsessed with the game, this version of the Superfly 9 Elite has disruptive ripples that signify the sagas we endure while energetic greens represent the breakthrough that arises when we overcome obstacles. You also get a football-specific Air Zoom unit, so you can put the pedal down in the waning minutes of a match—when it matters most.
Colour Shown: Green Strike/Stadium Green/Black
Style: FJ7186-300",Shoes
37,Nike Vapor 15 Elite Mercurial Dream Speed,S$369,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/50abae12-6f8a-42f2-a1bc-6f661cc44aee/vapor-15-elite-mercurial-dream-speed-fg-low-top-football-boot-wQXmK7.png","Cristiano Ronaldo wouldn't be the competitor he is without setbacks. Made for those obsessed with the game, this version of the Vapor 15 Elite has disruptive ripples that signify the sagas we endure, while energetic greens represent the breakthrough that arises when we overcome obstacles. You also get a football-specific Air Zoom unit, so you can put the pedal down in the waning minutes of a match—when it matters most.
Colour Shown: Green Strike/Stadium Green/Black
Style: FJ7196-300",Shoes
38,Nike Vapor 15 Academy Mercurial Dream Speed,S$149,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/912e6e0e-3bfc-439a-b130-91ce6af86629/vapor-15-academy-mercurial-dream-speed-mg-low-top-football-boot-PgL0Dz.png","Cristiano Ronaldo wouldn't be the competitor he is without setbacks. Made to help take your game to the next level, this version of the Vapor 15 Academy has disruptive ripples that signify the sagas we endure while energetic greens represent the breakthrough that arises when we overcome obstacles. You also get an Air Zoom unit, so you can put the pedal down in the waning minutes of a match—when it matters most.
Colour Shown: Green Strike/Stadium Green/Black
Style: FJ7200-300",Shoes
39,Nike Superfly 9 Academy Mercurial Dream Speed,S$169,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b4fb59c7-903e-4af2-bfb9-9ec7e42f7e30/superfly-9-academy-mercurial-dream-speed-mg-high-top-football-boot-1trJtC.png","Cristiano Ronaldo wouldn't be the competitor he is without setbacks. Made to help take your game to the next level, this version of the Superfly 9 Academy has disruptive ripples that signify the sagas we endure while energetic greens represent the breakthrough that arises when we overcome obstacles. You also get an Air Zoom unit, so you can put the pedal down in the waning minutes of a match—when it matters most.
Colour Shown: Green Strike/Stadium Green/Black
Style: FJ7190-300",Shoes
40,Nike Vapor 15 Academy Mercurial Dream Speed,S$149,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f32e169d-aeb9-450e-9eec-415e7626c888/vapor-15-academy-mercurial-dream-speed-tf-low-top-football-shoes-Tg5mK9.png","Cristiano Ronaldo wouldn't be the competitor he is without setbacks. Made to help take your game to the next level, this version of the Vapor 15 Academy has disruptive ripples that signify the sagas we endure while energetic greens represent the breakthrough that arises when we overcome obstacles. You also get an Air Zoom unit, so you can put the pedal down in the waning minutes of a match—when it matters most.
Colour Shown: Green Strike/Stadium Green/Black
Style: FJ7191-300",Shoes
